headline,author,source,date,wordcount,permalink,decade
Mr. Tan's oh-so painless taxes,,Straits Times,19 March 1967,1675,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19670319-1.2.90.4.aspx,60
Economics don quits Malayan varsity for job in Singapore,,Straits Times,11 October 1968,198,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19681011-1.2.85.aspx,60
Poser: what have we achieved in these fields?,,Straits times,17 December 1970,847,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19701217-1.2.124.aspx,70
Academic Fancies,,Straits times,18 December 1970,481,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19701218-1.2.63.1.aspx,70
Looking ahead into '71,Tsai Tan,Straits Times,1 January 1971,957,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19710101-1.2.61.1.aspx,70
Professor: Case for second language,,Straits times,11 January 1971,337,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19710111-1.2.53.aspx,70
5-year pay rise control ?,Joseph Yeo,Straits Times,12 February 1972,1071,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19720212-1.2.2.aspx,70
Govt yes likely,Edward Liu,Straits Times,30 April 1972,1030,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19720430-1.2.5.aspx,70
National Wages Council proposals: Full report,,Straits Times,2 May 1973,1682,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19730502-1.2.28.aspx,70
Almost in yen class,Chia Poteik,Straits Times,19 May 1973,852,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19730519-1.2.2.aspx,70
NWC PROPOSES 3 TO 6 PC PAY HIKE,,Straits Times,8 June 1975,1371,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19750608-1.2.2.aspx,70
Aid for Third World 'far below UN target',Evelyn Ng,Straits Times,3 November 1975,1057,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19751103-1.2.42.aspx,70
How S'pore can be developed nation in 10 years: Prof Lim,,Straits Times,16 October 1977,890,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771016-1.2.39.aspx,70
ONE MAN'S WEEK,Lim Chong Yah,Business Times,24 October 1977,2513,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19771024-1.2.15.5.aspx,70
Facts and fallacies about S'pore economy,Lim Chong Yah,Straits Times,25 October 1977,1980,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771025-1.2.83.aspx,70
Something money cannot buy…,,New Nation,17 December 1977,378,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/newnation19771217-1.2.18.aspx,70
higher education is aimed at meeting needs of nation,,Sunday Times,18 December 1977,820,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771218-1.2.23.aspx,70
Higher education is aimed at meeting needs of nation: Lim,,Straits Times,18 December 1977,820,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19771218-1.2.23.aspx,70
Bridging cultural gap with Japan,,Business Times,19 December 1977,997,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19771219-1.2.14.5.aspx,70
